year,category,winner,entity
1927,ACTOR,FALSE,Richard Barthelmess
1927,ACTOR,TRUE,Emil Jannings
1927,ACTRESS,FALSE,Louise Dresser
1927,ACTRESS,TRUE,Janet Gaynor
1927,ACTRESS,FALSE,Gloria Swanson
1927,ART DIRECTION,FALSE,Rochus Gliese
1927,ART DIRECTION,TRUE,William Cameron Menzies
1927,ART DIRECTION,FALSE,Harry Oliver
1927,CINEMATOGRAPHY,FALSE,George Barnes
1927,CINEMATOGRAPHY,TRUE,Charles Rosher
1927,CINEMATOGRAPHY,TRUE,Karl Struss
1927,DIRECTING (Comedy Picture),TRUE,Lewis Milestone
1927,DIRECTING (Comedy Picture),FALSE,Ted Wilde
1927,DIRECTING (Dramatic Picture),TRUE,Frank Borzage
1927,DIRECTING (Dramatic Picture),FALSE,Herbert Brenon
1927,DIRECTING (Dramatic Picture),FALSE,King Vidor
1927,ENGINEERING EFFECTS,FALSE,Ralph Hammeras
1927,ENGINEERING EFFECTS,TRUE,Roy Pomeroy
1927,ENGINEERING EFFECTS,FALSE,Nugent Slaughter
1927,OUTSTANDING PICTURE,FALSE,The Caddo Company
1927,OUTSTANDING PICTURE,FALSE,Fox
1927,OUTSTANDING PICTURE,TRUE,Paramount Famous Lasky
1927,UNIQUE AND ARTISTIC PICTURE,TRUE,Fox
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Metro-Goldwyn-Mayer
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Paramount Famous Lasky
1927,WRITING (Adaptation),FALSE,Alfred Cohn
1927,WRITING (Adaptation),FALSE,Anthony Coldeway
1927,WRITING (Adaptation),TRUE,Benjamin Glazer
1927,WRITING (Original Story),FALSE,Lajos Biro
1927,WRITING (Original Story),TRUE,Ben Hecht
1927,WRITING (Title Writing),FALSE,Gerald Duffy
1927,WRITING (Title Writing),TRUE,Joseph Farnham
1927,WRITING (Title Writing),FALSE,"George Marion, Jr."
1927,SPECIAL AWARD,TRUE,"To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
1927,SPECIAL AWARD,TRUE,"To Charles Chaplin, for acting, writing, directing and producing The Circus ."
1928,ACTOR,FALSE,George Bancroft
1928,ACTOR,TRUE,Warner Baxter
1928,ACTOR,FALSE,Chester Morris
1928,ACTOR,FALSE,Paul Muni
1928,ACTOR,FALSE,Lewis Stone
1928,ACTRESS,FALSE,Ruth Chatterton
1928,ACTRESS,FALSE,Betty Compson
1928,ACTRESS,FALSE,Jeanne Eagels
1928,ACTRESS,FALSE,Corinne Griffith
1928,ACTRESS,FALSE,Bessie Love
1928,ACTRESS,TRUE,Mary Pickford
1928,ART DIRECTION,FALSE,Hans Dreier
1928,ART DIRECTION,TRUE,Cedric Gibbons
1928,ART DIRECTION,FALSE,Mitchell Leisen
1928,ART DIRECTION,FALSE,William Cameron Menzies
1928,ART DIRECTION,FALSE,Harry Oliver
1928,CINEMATOGRAPHY,FALSE,George Barnes
1928,CINEMATOGRAPHY,TRUE,Clyde De Vinna
1928,CINEMATOGRAPHY,FALSE,Arthur Edeson
1928,CINEMATOGRAPHY,FALSE,Ernest Palmer
1928,CINEMATOGRAPHY,FALSE,John Seitz
1928,DIRECTING,FALSE,Lionel Barrymore
1928,DIRECTING,FALSE,Harry Beaumont
1928,DIRECTING,FALSE,Irving Cummings
1928,DIRECTING,TRUE,Frank Lloyd
1928,DIRECTING,FALSE,Frank Lloyd
1928,DIRECTING,FALSE,Ernst Lubitsch
1928,OUTSTANDING PICTURE,FALSE,Feature Productions
1928,OUTSTANDING PICTURE,FALSE,Fox
1928,OUTSTANDING PICTURE,TRUE,Metro-Goldwyn-Mayer
1928,OUTSTANDING PICTURE,FALSE,Metro-Goldwyn-Mayer
1928,OUTSTANDING PICTURE,FALSE,Paramount Famous Lasky
1928,WRITING,FALSE,Tom Barry
1928,WRITING,FALSE,Elliott Clawson
1928,WRITING,FALSE,Hans Kraly
1928,WRITING,TRUE,Hans Kraly
1928,WRITING,FALSE,Josephine Lovett
1928,WRITING,FALSE,Bess Meredyth
1929,ACTOR,TRUE,George Arliss
1929,ACTOR,FALSE,George Arliss
1929,ACTOR,FALSE,Wallace Beery
1929,ACTOR,FALSE,Maurice Chevalier
1929,ACTOR,FALSE,Ronald Colman
1929,ACTOR,FALSE,Lawrence Tibbett
1929,ACTRESS,FALSE,Nancy Carroll
1929,ACTRESS,FALSE,Ruth Chatterton
1929,ACTRESS,FALSE,Greta Garbo
1929,ACTRESS,TRUE,Norma Shearer
1929,ACTRESS,FALSE,Norma Shearer
1929,ACTRESS,FALSE,Gloria Swanson
1929,ART DIRECTION,FALSE,Bulldog Drummond
1929,ART DIRECTION,TRUE,King of Jazz
1929,ART DIRECTION,FALSE,The Love Parade
1929,ART DIRECTION,FALSE,Sally
1929,ART DIRECTION,FALSE,The Vagabond King
1929,CINEMATOGRAPHY,FALSE,All Quiet on the Western Front
1929,CINEMATOGRAPHY,FALSE,Anna Christie
1929,CINEMATOGRAPHY,FALSE,Hell's Angels
1929,CINEMATOGRAPHY,FALSE,The Love Parade
1929,CINEMATOGRAPHY,TRUE,With Byrd at the South Pole
